"n","TW","S","h","z","w_fp","z_fp","n_fp","XS_spacing","L","b","A_bf","P_bf","Q_bf","Geometry","Qp","Qd","Geometry2","Run"
0.03,100,3e-04,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,577.20512599829,"013",2.5,10,"013",109
0.03,100,3e-04,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,577.20512599829,"013",3.5,10,"013",110
0.03,100,3e-04,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,577.20512599829,"013",4.5,10,"013",111
0.03,100,3e-04,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,577.20512599829,"013",2.5,30,"013",112
0.03,100,3e-04,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,577.20512599829,"013",3.5,30,"013",113
0.03,100,3e-04,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,577.20512599829,"013",4.5,30,"013",114
0.03,100,3e-04,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,577.20512599829,"013",2.5,60,"013",115
0.03,100,3e-04,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,577.20512599829,"013",3.5,60,"013",116
0.03,100,3e-04,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,577.20512599829,"013",4.5,60,"013",117
0.03,300,3e-04,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,2251.05584367555,"014",2.5,10,"014",118
0.03,300,3e-04,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,2251.05584367555,"014",3.5,10,"014",119
0.03,300,3e-04,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,2251.05584367555,"014",4.5,10,"014",120
0.03,300,3e-04,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,2251.05584367555,"014",2.5,30,"014",121
0.03,300,3e-04,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,2251.05584367555,"014",3.5,30,"014",122
0.03,300,3e-04,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,2251.05584367555,"014",4.5,30,"014",123
0.03,300,3e-04,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,2251.05584367555,"014",2.5,60,"014",124
0.03,300,3e-04,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,2251.05584367555,"014",3.5,60,"014",125
0.03,300,3e-04,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,2251.05584367555,"014",4.5,60,"014",126
0.03,1000,3e-04,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,8154.73710363669,"015",2.5,10,"015",127
0.03,1000,3e-04,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,8154.73710363669,"015",3.5,10,"015",128
0.03,1000,3e-04,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,8154.73710363669,"015",4.5,10,"015",129
0.03,1000,3e-04,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,8154.73710363669,"015",2.5,30,"015",130
0.03,1000,3e-04,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,8154.73710363669,"015",3.5,30,"015",131
0.03,1000,3e-04,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,8154.73710363669,"015",4.5,30,"015",132
0.03,1000,3e-04,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,8154.73710363669,"015",2.5,60,"015",133
0.03,1000,3e-04,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,8154.73710363669,"015",3.5,60,"015",134
0.03,1000,3e-04,5,4,60000,1e+05,0.15,250,150000,960,4900,1001.23105625618,8154.73710363669,"015",4.5,60,"015",135
0.03,100,0.001,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,1053.82755938958,"016",2.5,10,"016",136
0.03,100,0.001,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,1053.82755938958,"016",3.5,10,"016",137
0.03,100,0.001,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,1053.82755938958,"016",4.5,10,"016",138
0.03,100,0.001,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,1053.82755938958,"016",2.5,30,"016",139
0.03,100,0.001,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,1053.82755938958,"016",3.5,30,"016",140
0.03,100,0.001,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,1053.82755938958,"016",4.5,30,"016",141
0.03,100,0.001,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,1053.82755938958,"016",2.5,60,"016",142
0.03,100,0.001,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,1053.82755938958,"016",3.5,60,"016",143
0.03,100,0.001,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,1053.82755938958,"016",4.5,60,"016",144
0.03,300,0.001,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,4109.84687928306,"017",2.5,10,"017",145
0.03,300,0.001,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,4109.84687928306,"017",3.5,10,"017",146
0.03,300,0.001,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,4109.84687928306,"017",4.5,10,"017",147
0.03,300,0.001,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,4109.84687928306,"017",2.5,30,"017",148
0.03,300,0.001,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,4109.84687928306,"017",3.5,30,"017",149
0.03,300,0.001,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,4109.84687928306,"017",4.5,30,"017",150
0.03,300,0.001,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,4109.84687928306,"017",2.5,60,"017",151
0.03,300,0.001,5,4,60000,1e+05,0.15,250,150000,260,1400,301.231056256177,4109.84687928306,"017",3.5,60,"017",152
